date,open,high,low,close,adjusted_close,volume
2024-04-23,165.35,167.05,164.92,166.9,166.2983,49537800
2024-04-24,166.54,169.3,166.21,169.02,168.4106,48251800
2024-04-25,169.53,170.61,168.15,169.89,169.2775,50558300
2024-04-26,169.88,171.34,169.18,169.3,168.6896,44838400
2024-04-29,173.37,176.03,173.1,173.5,172.8745,68169400
2024-04-30,173.33,174.99,170.0,170.33,169.7159,65934800
2024-05-01,169.58,172.71,169.11,169.3,168.6896,50383100
2024-05-02,172.51,173.42,170.89,173.03,172.4062,94214900
2024-05-03,186.65,187.0,182.66,183.38,182.7189,163224100
2024-05-06,182.35,184.2,180.42,181.71,181.0549,78569700
2024-05-07,183.45,184.9,181.32,182.4,181.7424,77305800
2024-05-08,182.85,183.07,181.45,182.74,182.0812,45057100
2024-05-09,182.56,184.66,182.11,184.57,183.9046,48983000
2024-05-10,184.9,185.09,182.13,183.05,182.6374,50759500
2024-05-13,185.44,187.1,184.62,186.28,185.8602,72044800
2024-05-14,187.51,188.3,186.29,187.43,187.0076,52393600
2024-05-15,187.91,190.65,187.37,189.72,189.2924,70400000
2024-05-16,190.47,191.1,189.66,189.84,189.4121,52845200
2024-05-17,189.51,190.81,189.18,189.87,189.4421,41282900
2024-05-20,189.33,191.92,189.01,191.04,190.6094,44361300
2024-05-21,191.09,192.73,190.92,192.35,191.9165,42309400
2024-05-22,192.27,192.82,190.27,190.9,190.4697,34648500
2024-05-23,190.98,191.0,186.63,186.88,186.4588,51005900
2024-05-24,188.82,190.58,188.04,189.98,189.5518,36294600
2024-05-28,191.51,193.0,189.1,189.99,189.5618,52280100
2024-05-29,189.61,192.25,189.51,190.29,189.8611,53068000
2024-05-30,190.76,192.18,190.63,191.29,190.8589,49947900
2024-05-31,191.44,192.57,189.91,192.25,191.8167,75158300
2024-06-03,192.9,194.99,192.52,194.03,193.5927,50080500
2024-06-04,194.64,195.32,193.03,194.35,193.912,47471400
2024-06-05,195.4,196.9,194.87,195.87,195.4285,54156800
2024-06-06,195.69,196.5,194.17,194.48,194.0417,41181800
2024-06-07,194.65,196.94,194.14,196.89,196.4462,53103900
2024-06-10,196.9,197.3,192.15,193.12,192.6847,97262100
2024-06-11,193.65,207.16,193.63,207.15,206.6831,172373300
2024-06-12,207.37,220.2,206.9,213.07,212.5898,198134300
2024-06-13,214.74,216.75,211.6,214.24,213.7571,97862700
2024-06-14,213.85,215.17,211.3,212.49,212.0111,70122700
2024-06-17,213.37,218.95,212.72,216.67,216.1817,93728300
2024-06-18,217.59,218.63,213.0,214.29,213.807,79943300
2024-06-20,213.93,214.24,208.85,209.68,209.2074,86172500
2024-06-21,210.39,211.89,207.11,207.49,207.0223,246421400
2024-06-24,207.72,212.7,206.59,208.14,207.6709,80727000
2024-06-25,209.15,211.38,208.61,209.07,208.5988,56713900
2024-06-26,211.5,214.86,210.64,213.25,212.7694,66213200
2024-06-27,214.69,215.74,212.35,214.1,213.6175,49772700
2024-06-28,215.77,216.07,210.3,210.62,210.1453,82542700
2024-07-01,212.09,217.51,211.92,216.75,216.2615,60402900
2024-07-02,216.15,220.38,215.1,220.27,219.7735,58046200
2024-07-03,220.0,221.55,219.03,221.55,221.0507,37369800
2024-07-05,221.65,226.45,221.65,226.34,225.8299,60412400
2024-07-08,227.09,227.85,223.25,227.82,227.3065,59085900
2024-07-09,227.93,229.4,226.37,228.68,228.1646,48076100
2024-07-10,229.3,233.08,229.25,232.98,232.4549,62627700
2024-07-11,231.39,232.39,225.77,227.57,227.0571,64710600
2024-07-12,228.92,232.64,228.68,230.54,230.0204,53046500
2024-07-15,236.48,237.23,233.09,234.4,233.8717,62631300
2024-07-16,235.0,236.27,232.33,234.82,234.2908,43234300
2024-07-17,229.45,231.46,226.64,228.88,228.3641,57345900
2024-07-18,230.28,230.44,222.27,224.18,223.6747,66034600
2024-07-19,224.82,226.8,223.28,224.31,223.8044,49151500
2024-07-22,227.01,227.78,223.09,223.96,223.4552,48201800
2024-07-23,224.37,226.94,222.68,225.01,224.5029,39960300
2024-07-24,224.0,224.8,217.13,218.54,218.0474,61777600
2024-07-25,218.93,220.85,214.62,217.49,216.9998,51391200
2024-07-26,218.7,219.49,216.01,217.96,217.4688,41601300
2024-07-29,216.96,219.3,215.75,218.24,217.7481,36311800
2024-07-30,219.19,220.33,216.12,218.8,218.3069,41643800
2024-07-31,221.44,223.82,220.63,222.08,221.5795,50036300
2024-08-01,224.37,224.48,217.02,218.36,217.8678,62501000
2024-08-02,219.15,225.6,217.71,219.86,219.3645,105568600
2024-08-05,199.09,213.5,196.0,209.27,208.7983,119548600
2024-08-06,205.3,209.99,201.07,207.23,206.7629,69660500
2024-08-07,206.9,213.64,206.39,209.82,209.3471,63516400
2024-08-08,213.11,214.2,208.83,213.31,212.8292,47161100
2024-08-09,212.1,216.78,211.97,216.24,215.7526,42201600
2024-08-12,216.07,219.51,215.6,217.53,217.2909,38028100
2024-08-13,219.01,221.89,219.01,221.27,221.0268,44155300
2024-08-14,220.57,223.03,219.7,221.72,221.4763,41960600
2024-08-15,224.6,225.35,222.76,224.72,224.473,46414000
2024-08-16,223.92,226.83,223.65,226.05,225.8016,44340200
2024-08-19,225.72,225.99,223.04,225.89,225.6417,40687800
2024-08-20,225.77,227.17,225.45,226.51,226.2611,30299000
2024-08-21,226.52,227.98,225.05,226.4,226.1512,34765500
2024-08-22,227.79,228.34,223.9,224.53,224.2832,43695300
2024-08-23,225.66,228.22,224.33,226.84,226.5907,38677300
2024-08-26,226.76,227.28,223.89,227.18,226.9303,30602200
2024-08-27,226.0,228.85,224.89,228.03,227.7794,35934600
2024-08-28,227.92,229.86,225.68,226.49,226.2411,38052200
2024-08-29,230.1,232.92,228.88,229.79,229.5375,51906300
2024-08-30,230.19,230.4,227.48,229.0,228.7483,52990800
2024-09-03,228.55,229.0,221.17,222.77,222.5252,50190600
2024-09-04,221.66,221.78,217.48,220.85,220.6073,43840200
2024-09-05,221.63,225.48,221.52,222.38,222.1356,36615400
2024-09-06,223.95,225.24,219.77,220.82,220.5773,48423000
2024-09-09,220.82,221.27,216.71,220.91,220.6672,67180000
2024-09-10,218.92,221.48,216.73,220.11,219.8681,51591000
2024-09-11,221.46,223.09,217.89,222.66,222.4153,44587100
2024-09-12,222.5,223.55,219.82,222.77,222.5252,37498200
2024-09-13,223.58,224.04,221.91,222.5,222.2555,36766600
2024-09-16,216.54,217.22,213.92,216.32,216.0823,59357400
2024-09-17,215.75,216.9,214.5,216.79,216.5517,45519300
2024-09-18,217.55,222.71,217.54,220.69,220.4475,59894900
2024-09-19,224.99,229.82,224.63,228.87,228.6185,66781300
2024-09-20,229.97,233.09,227.62,228.2,227.9492,318679900
2024-09-23,227.34,229.45,225.81,226.47,226.2211,54146000
2024-09-24,228.65,229.35,225.73,227.37,227.1201,43556100
2024-09-25,224.93,227.29,224.02,226.37,226.1212,42308700
2024-09-26,227.3,228.5,225.41,227.52,227.27,36636700
2024-09-27,228.46,229.52,227.3,227.79,227.5397,34026000
2024-09-30,230.04,233.0,229.65,233.0,232.7439,54541900
2024-10-01,229.52,229.65,223.74,226.21,225.9614,63285000
2024-10-02,225.89,227.37,223.02,226.78,226.5308,32880600
2024-10-03,225.14,226.81,223.32,225.67,225.422,34044200
2024-10-04,227.9,228.0,224.13,226.8,226.5507,37245100
2024-10-07,224.5,225.69,221.33,221.69,221.4464,39505400
2024-10-08,224.3,225.98,223.25,225.77,225.5219,31855700
2024-10-09,225.23,229.75,224.83,229.54,229.2877,33591100
2024-10-10,227.78,229.5,227.17,229.04,228.7883,28183500
2024-10-11,229.3,229.41,227.34,227.55,227.2999,31759200
2024-10-14,228.7,231.73,228.6,231.3,231.0458,39882100
2024-10-15,233.61,237.49,232.37,233.85,233.593,64751400
2024-10-16,231.6,232.12,229.84,231.78,231.5253,34082200
2024-10-17,233.43,233.85,230.52,232.15,231.8949,32993800
2024-10-18,236.18,236.18,234.01,235.0,234.7417,46431500
2024-10-21,234.45,236.85,234.45,236.48,236.2201,36254500
2024-10-22,233.89,236.22,232.6,235.86,235.6008,38846600
2024-10-23,234.08,235.14,227.76,230.76,230.5064,52287000
2024-10-24,229.98,230.82,228.41,230.57,230.3166,31109500
2024-10-25,229.74,233.22,229.57,231.41,231.1557,38802300
2024-10-28,233.32,234.73,232.55,233.4,233.1435,36087100
2024-10-29,233.1,234.33,232.32,233.67,233.4132,35417200
2024-10-30,232.61,233.47,229.55,230.1,229.8471,47070900
2024-10-31,229.34,229.83,225.37,225.91,225.6617,64370100
2024-11-01,220.97,225.35,220.27,222.91,222.665,65276700
2024-11-04,220.99,222.79,219.71,222.01,221.766,44944500
2024-11-05,221.8,223.95,221.14,223.45,223.2044,28111300
2024-11-06,222.61,226.07,221.19,222.72,222.4752,54561100
2024-11-07,224.63,227.88,224.57,227.48,227.23,42137700
2024-11-08,227.17,228.66,226.41,226.96,226.96,38328800
2024-11-11,225.0,225.7,221.5,224.23,224.23,42005600
2024-11-12,224.55,225.59,223.36,224.23,224.23,40398300
2024-11-13,224.01,226.65,222.76,225.12,225.12,48566200
2024-11-14,225.02,228.87,225.0,228.22,228.22,44923900
2024-11-15,226.4,226.92,224.27,225.0,225.0,47923700
2024-11-18,225.25,229.74,225.17,228.02,228.02,44686000
2024-11-19,226.98,230.16,226.66,228.28,228.28,36211800
2024-11-20,228.06,229.93,225.89,229.0,229.0,35169600
2024-11-21,228.88,230.16,225.71,228.52,228.52,42108300
2024-11-22,228.06,230.72,228.06,229.87,229.87,38168300
2024-11-25,231.46,233.25,229.74,232.87,232.87,90152800
2024-11-26,233.33,235.57,233.33,235.06,235.06,45986200
2024-11-27,234.47,235.69,233.81,234.93,234.93,33498400
2024-11-29,234.81,237.81,233.97,237.33,237.33,28481400
2024-12-02,237.27,240.79,237.16,239.59,239.59,48137100
2024-12-03,239.81,242.76,238.9,242.65,242.65,38861000
2024-12-04,242.87,244.11,241.25,243.01,243.01,44383900
2024-12-05,243.99,244.54,242.13,243.04,243.04,40033900
2024-12-06,242.91,244.63,242.08,242.84,242.84,36870600
2024-12-09,241.83,247.24,241.75,246.75,246.75,44649200
2024-12-10,246.89,248.21,245.34,247.77,247.77,36914800
2024-12-11,247.96,250.8,246.26,246.49,246.49,45205800
2024-12-12,246.89,248.74,245.68,247.96,247.96,32777500
2024-12-13,247.82,249.29,246.24,248.13,248.13,33155300
2024-12-16,247.99,251.38,247.65,251.04,251.04,51694800
2024-12-17,250.08,253.83,249.78,253.48,253.48,51356400
2024-12-18,252.16,254.28,247.74,248.05,248.05,56774100
2024-12-19,247.5,252.0,247.09,249.79,249.79,60882300
2024-12-20,248.04,255.0,245.69,254.49,254.49,147495300
2024-12-23,254.77,255.65,253.45,255.27,255.27,40858800
2024-12-24,255.49,258.21,255.29,258.2,258.2,23234700
2024-12-26,258.19,260.1,257.63,259.02,259.02,27237100
2024-12-27,257.83,258.7,253.06,255.59,255.59,42355300
2024-12-30,252.23,253.5,250.75,252.2,252.2,35557500
2024-12-31,252.44,253.28,249.43,250.42,250.42,39480700
